client-api 2.5
audio-decoders 184
A aac | aac | AAC (Advanced Audio Coding)
A aac | aac_fixed | AAC (Advanced Audio Coding)
A aac_latm | aac_latm | AAC LATM (Advanced Audio Coding LATM syntax)
A ac3 | ac3 | ATSC A/52A (AC-3)
A ac3 | ac3_fixed | ATSC A/52A (AC-3)
A adpcm_4xm | adpcm_4xm | ADPCM 4X Movie
A adpcm_adx | adpcm_adx | SEGA CRI ADX ADPCM
A adpcm_afc | adpcm_afc | ADPCM Nintendo Gamecube AFC
A adpcm_agm | adpcm_agm | ADPCM AmuseGraphics Movie
A adpcm_aica | adpcm_aica | ADPCM Yamaha AICA
A adpcm_argo | adpcm_argo | ADPCM Argonaut Games
A adpcm_ct | adpcm_ct | ADPCM Creative Technology
A adpcm_dtk | adpcm_dtk | ADPCM Nintendo Gamecube DTK
A adpcm_ea | adpcm_ea | ADPCM Electronic Arts
A adpcm_ea_maxis_xa | adpcm_ea_maxis_xa | ADPCM Electronic Arts Maxis CDROM XA
A adpcm_ea_r1 | adpcm_ea_r1 | ADPCM Electronic Arts R1
A adpcm_ea_r2 | adpcm_ea_r2 | ADPCM Electronic Arts R2
A adpcm_ea_r3 | adpcm_ea_r3 | ADPCM Electronic Arts R3
A adpcm_ea_xas | adpcm_ea_xas | ADPCM Electronic Arts XAS
A adpcm_g722 | g722 | G.722 ADPCM
A adpcm_g726 | g726 | G.726 ADPCM
A adpcm_g726le | g726le | G.726 ADPCM little-endian
A adpcm_ima_acorn | adpcm_ima_acorn | ADPCM IMA Acorn Replay
A adpcm_ima_alp | adpcm_ima_alp | ADPCM IMA High Voltage Software ALP
A adpcm_ima_amv | adpcm_ima_amv | ADPCM IMA AMV
A adpcm_ima_apc | adpcm_ima_apc | ADPCM IMA CRYO APC
A adpcm_ima_apm | adpcm_ima_apm | ADPCM IMA Ubisoft APM
A adpcm_ima_cunning | adpcm_ima_cunning | ADPCM IMA Cunning Developments
A adpcm_ima_dat4 | adpcm_ima_dat4 | ADPCM IMA Eurocom DAT4
A adpcm_ima_dk3 | adpcm_ima_dk3 | ADPCM IMA Duck DK3
A adpcm_ima_dk4 | adpcm_ima_dk4 | ADPCM IMA Duck DK4
A adpcm_ima_ea_eacs | adpcm_ima_ea_eacs | ADPCM IMA Electronic Arts EACS
A adpcm_ima_ea_sead | adpcm_ima_ea_sead | ADPCM IMA Electronic Arts SEAD
A adpcm_ima_iss | adpcm_ima_iss | ADPCM IMA Funcom ISS
A adpcm_ima_moflex | adpcm_ima_moflex | ADPCM IMA MobiClip MOFLEX
A adpcm_ima_mtf | adpcm_ima_mtf | ADPCM IMA Capcom's MT Framework
A adpcm_ima_oki | adpcm_ima_oki | ADPCM IMA Dialogic OKI
A adpcm_ima_qt | adpcm_ima_qt | ADPCM IMA QuickTime
A adpcm_ima_rad | adpcm_ima_rad | ADPCM IMA Radical
A adpcm_ima_smjpeg | adpcm_ima_smjpeg | ADPCM IMA Loki SDL MJPEG
A adpcm_ima_ssi | adpcm_ima_ssi | ADPCM IMA Simon & Schuster Interactive
A adpcm_ima_wav | adpcm_ima_wav | ADPCM IMA WAV
A adpcm_ima_ws | adpcm_ima_ws | ADPCM IMA Westwood
A adpcm_ima_xbox | adpcm_ima_xbox | ADPCM IMA Xbox
A adpcm_ms | adpcm_ms | ADPCM Microsoft
A adpcm_mtaf | adpcm_mtaf | ADPCM MTAF
A adpcm_psx | adpcm_psx | ADPCM Playstation
A adpcm_sanyo | adpcm_sanyo | ADPCM Sanyo
A adpcm_sbpro_2 | adpcm_sbpro_2 | ADPCM Sound Blaster Pro 2-bit
A adpcm_sbpro_3 | adpcm_sbpro_3 | ADPCM Sound Blaster Pro 2.6-bit
A adpcm_sbpro_4 | adpcm_sbpro_4 | ADPCM Sound Blaster Pro 4-bit
A adpcm_swf | adpcm_swf | ADPCM Shockwave Flash
A adpcm_thp | adpcm_thp | ADPCM Nintendo THP
A adpcm_thp_le | adpcm_thp_le | ADPCM Nintendo THP (little-endian)
A adpcm_vima | adpcm_vima | LucasArts VIMA audio
A adpcm_xa | adpcm_xa | ADPCM CDROM XA
A adpcm_xmd | adpcm_xmd | ADPCM Konami XMD
A adpcm_yamaha | adpcm_yamaha | ADPCM Yamaha
A adpcm_zork | adpcm_zork | ADPCM Zork
A alac | alac | ALAC (Apple Lossless Audio Codec)
A apac | apac | Marian's A-pac audio
A ape | ape | Monkey's Audio
A atrac1 | atrac1 | ATRAC1 (Adaptive TRansform Acoustic Coding)
A atrac3 | atrac3 | ATRAC3 (Adaptive TRansform Acoustic Coding 3)
A atrac3al | atrac3al | ATRAC3 AL (Adaptive TRansform Acoustic Coding 3 Advanced Lossless)
A atrac3p | atrac3plus | ATRAC3+ (Adaptive TRansform Acoustic Coding 3+)
A atrac3pal | atrac3plusal | ATRAC3+ AL (Adaptive TRansform Acoustic Coding 3+ Advanced Lossless)
A atrac9 | atrac9 | ATRAC9 (Adaptive TRansform Acoustic Coding 9)
A binkaudio_dct | binkaudio_dct | Bink Audio (DCT)
A binkaudio_rdft | binkaudio_rdft | Bink Audio (RDFT)
A bonk | bonk | Bonk audio
A comfortnoise | comfortnoise | RFC 3389 comfort noise generator
A cook | cook | Cook / Cooker / Gecko (RealAudio G2)
A dfpwm | dfpwm | DFPWM1a audio
A dolby_e | dolby_e | Dolby E
A dsd_lsbf | dsd_lsbf | DSD (Direct Stream Digital), least significant bit first
A dsd_lsbf_planar | dsd_lsbf_planar | DSD (Direct Stream Digital), least significant bit first, planar
A dsd_msbf | dsd_msbf | DSD (Direct Stream Digital), most significant bit first
A dsd_msbf_planar | dsd_msbf_planar | DSD (Direct Stream Digital), most significant bit first, planar
A dst | dst | DST (Digital Stream Transfer)
A dts | dca | DCA (DTS Coherent Acoustics)
A eac3 | eac3 | ATSC A/52B (AC-3, E-AC-3)
A evrc | evrc | EVRC (Enhanced Variable Rate Codec)
A flac | flac | FLAC (Free Lossless Audio Codec)
A ftr | ftr | FTR Voice
A g723_1 | g723_1 | G.723.1
A g729 | g729 | G.729
A gsm | gsm | GSM
A gsm_ms | gsm_ms | GSM Microsoft variant
A hcom | hcom | HCOM Audio
A iac | iac | IAC (Indeo Audio Coder)
